movieNm,salesAcc,audiAcc,scrnCnt,showCnt,hasOriginal
다크 나이트 라이즈,47308454500,6359407,4214,80254,0
명탐정 코난: 11번째 스트라이커,3204811000,499966,961,9960,0
5백만불의 사나이,569565000,79794,331,3986,0
도둑들,93640884000,12979237,5948,154120,0
아이스 에이지 4: 대륙 이동설,11923427704,1591294,1634,25018,0
무서운 이야기,2332497566,315775,690,9716,0
극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,910905500,141100,364,3219,0
새미의 어드벤쳐 2,10737335000,1438459,1711,25728,0
나는 왕이로소이다,5373954904,778171,1271,21046,1
락 오브 에이지,495762996,67691,243,2974,0
바람과 함께 사라지다,34542485661,4898495,2915,77431,0
빌리와 용감한 녀석들 3D,1808498500,275373,571,6366,1
스텝업4 : 레볼루션,7002404500,931833,1075,21966,0
토탈 리콜,8865133500,1206487,1141,25912,1
R2B: 리턴투베이스,8406384871,1172877,1334,30702,0
이웃사람,17958955369,2416123,1944,54797,1
공모자들,12046391000,1618517,1640,42714,0
링컨: 뱀파이어 헌터,2669330500,333363,653,14751,1
577 프로젝트,656562000,90377,370,4634,0
본 레거시,7289924000,998061,1436,29426,1
익스펜더블 2,3186448728,441149,998,19593,0
피에타,4313267000,597386,1189,22547,0
"광해, 왕이 된 남자",88620816269,12274154,7535,202096,0
레지던트 이블 5 : 최후의 심판,4698599500,550478,1015,24147,1
늑대아이,2049791761,297532,755,9117,0
간첩,9259113000,1301995,1808,40761,0
테드: 황금도시 파이티티를 찾아서,1426239500,202036,685,5700,0
테이큰 2,17549850553,2304264,2099,50731,0
메리다와 마법의 숲,8896100500,1211487,1745,21548,0
19곰 테드,1961734793,256849,691,9739,0
점쟁이들,6613703000,935818,1421,29412,0
회사원,8183273500,1091597,1433,38783,0
루퍼,4236453000,567933,1236,23198,0
위험한 관계,2090696230,293255,911,17494,1
프랑켄위니,260514500,30327,226,2356,0
용의자X,11228841000,1549944,1995,42774,1
조조-황제의 반란,521867000,73424,439,6562,1
로우리스: 나쁜 영웅들,332160166,46815,275,4356,0
007 스카이폴,17304045500,2349419,2587,50376,1
강철대오:구국의 철가방,1596638156,230319,890,14760,0
파라노말 액티비티4,306459000,43270,173,2056,0
늑대소년,46409843500,6627275,3938,107526,0
아르고,919184000,128419,478,7575,0
내가 살인범이다,20323516500,2720031,2626,57869,0
복숭아나무,172763112,24048,201,3269,0
업사이드 다운,1192087645,169384,604,9322,1
나우이즈굿 ,399709500,56691,280,2887,0
밀림의 왕자 레오2,164539000,25725,159,830,0
브레이킹 던 part2,18863191565,2648062,2385,56704,1
자칼이 온다,1373499000,201431,572,10434,0
살인소설,307112800,38368,617,5970,0
돈 크라이 마미,6694060599,956726,1200,27996,1
남영동1985,2176016101,305791,614,13530,0
가디언즈,7705945000,1001207,1658,20053,0
음치 클리닉 ,2029783000,303595,900,13931,0
26년,20643695645,2874554,2292,48138,1
철가방 우수氏,468381500,69097,113,1527,0
나의 PS 파트너 ,13828088116,1822593,1888,38697,0
늑대소년-확장판,2586800500,372039,545,9959,0
호빗: 뜻밖의 여정,23084420716,2775993,2847,49358,1
원 데이,756457000,103120,236,2881,1
극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전 ,431157000,63039,229,1455,0
레미제라블,42507630500,5835014,3848,80865,1
반창꼬,17478112287,2414195,1678,43268,0
가문의 영광5 - 가문의 귀환,8138786500,1133197,1186,26935,0
주먹왕 랄프,6426302500,893328,1257,15007,0
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,1229192000,316515,522,5697,0
극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,530404750,159425,237,2493,0
타워,37395107500,5142969,2721,78318,0
니코: 산타비행단의 모험,2554320500,371645,582,6450,0
잠베지아: 신비한 나무섬의 비밀,3219853500,454891,734,8850,0
라이프 오브 파이,15617687000,1568541,1589,32271,0
박수건달,28284536069,3884350,2633,60130,0
클라우드 아틀라스,3218717727,426659,731,12378,1
파이스토리 : 악당상어 소탕작전,1692333000,248260,578,6391,0
마이 리틀 히어로,1247865628,177475,661,11033,0
잭 리처,5735200500,780719,1136,19455,1
몬스터 호텔,5976314000,868261,1212,15527,0
더 임파서블,4411413000,617895,1050,18787,0
7번방의 선물,91291202670,12786081,6144,165040,0
뽀로로 극장판 슈퍼썰매 대모험,6368320500,867148,1430,17778,0
명탐정 코난:은빛 날개의 마술사,1085119000,165371,269,3053,0
베를린,52218012637,7146760,4085,109838,1
다이하드: 굿 데이 투 다이,10718577000,1422248,1237,31843,0
남쪽으로 튀어,5563756500,772571,824,19348,0
눈의 여왕,1658368000,245977,627,5421,1
몬스터 주식회사,364422000,34617,173,1289,0
남자사용설명서,3568968757,502463,950,16750,0
헨젤과 그레텔: 마녀 사냥꾼 3D,2066901500,261517,580,10016,0
해양경찰 마르코,1016345000,159640,518,3966,0
실버라이닝 플레이북,535384000,70730,226,2957,1
신세계,34794192405,4670388,3733,89360,0
분노의 윤리학,1590133000,215983,570,10593,1
빌리와 용감한 녀석들 2 ,1980821000,302550,720,7172,1
더 자이언트,939642500,149054,437,3892,0
잭 더 자이언트 킬러,7301650500,945119,1260,25812,0
스토커,2575965174,343745,633,13310,0
차이니즈 조디악,2079113500,296005,587,11340,0
사이코메트리,3927607629,526494,1133,22730,0
오즈 그레이트 앤드 파워풀,2704972000,326939,803,13632,0
제로 다크 서티,525763500,72222,258,3287,0
웜 바디스,8323026624,1164293,1540,37250,1
파파로티,11790729500,1710343,2373,52741,0
링컨,836253000,119690,421,4960,1
글래디에이터: 로마 영웅 탄생의 비밀 3D,243004500,35681,275,1462,0
연애의 온도,13681617446,1847774,2184,56311,0
장고:분노의 추적자,1662239000,229221,662,9963,0
안나 카레니나,741335000,108489,488,6308,1
원피스 극장판 Z,538314000,79949,449,3222,0
지.아이.조 2,14373765500,1843583,2350,60621,0
웃는 남자,264494000,37384,170,2001,1
런닝맨,9993227000,1412725,2091,44617,1
호스트,243631500,34828,244,3342,1
지슬 - 끝나지 않은 세월2,767150100,110028,137,2055,0
호프 스프링즈,349726000,49589,347,3142,0
전설의 주먹,12770102000,1743466,2893,57331,1
오블리비언,11149722500,1513005,2268,47624,0
꼬마영웅 경찰차 프로디,198752000,29812,229,1156,0
노리개,1153730500,158018,545,10581,0
송 포 유,1451358500,209111,892,11452,0
뷰티풀 크리처스,407935044,56897,278,3907,1
로마 위드 러브,1272013590,173324,615,7276,0
아이언맨 3,70576547500,8968799,5973,161665,1
짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,1399462000,212423,788,5684,0
피노키오: 당나귀 섬의 비밀,243634000,37117,283,1331,0
에반게리온: Q,237369461,32792,59,894,0
전국노래자랑,6571042500,957494,1741,40057,0
니모를 찾아서,632657500,60922,212,1843,0
폭풍우 치는 밤에: 비밀 친구,215582000,32214,231,1416,0
고령화 가족,8144486653,1136853,1763,37216,0
크루즈 패밀리,6261768500,897813,2245,20720,0
스니치,287796500,41407,300,3257,0
몽타주,14963346500,2089900,2296,52437,0
위대한 개츠비,10393588643,1418938,1955,35241,1
미나문방구,2042673000,302282,747,13866,0
분노의 질주: 더 맥시멈,13098437042,1774615,2023,43275,1
비포 미드나잇,1196318900,163434,568,7277,0
스타트렉 다크니스,12860516500,1590489,2284,39768,0
애프터 어스,3740441167,524610,922,18025,1
뜨거운 안녕,248295000,36769,172,2372,0
은밀하게 위대하게,48647423913,6950740,4610,117113,1
무서운 이야기 2,3382394500,493837,888,18307,0
백악관 최후의 날,1146472000,161481,559,8214,0
극장판 썬더일레븐 GO VS 골판지 전사 W,199876500,30210,99,706,0
맨 오브 스틸,17043514898,2174538,2770,55096,1
월드 워 Z,38425682000,5218825,3741,100101,1
더 콜,609825134,86398,472,5194,0
닥터,338904500,45162,156,2145,1
토토의 움직이는 숲,390791500,60408,312,1940,0
꼭두각시,159299000,21432,134,1615,0
더 웹툰: 예고살인,8498172070,1194450,1752,35656,0
화이트 하우스 다운,3996899500,566624,1223,19661,0
쥬라기 공원,489728500,40092,162,1723,1
빅 웨딩,223228500,32415,315,2752,0
감시자들,39327312679,5500389,3736,99775,0
론 레인저,2746196500,386976,989,14121,0
쿵후팬더: 영웅의 탄생,449675000,70987,323,1902,0
퍼시픽 림,20409084012,2531873,2688,55393,0
사이드 이펙트,169334000,23440,170,1663,0
미스터 고,9167055000,1303250,1913,37133,1
레드: 더 레전드,21429074970,2986373,2703,55382,0
터보,13066917000,1915404,2356,28403,0
토니 스토리: 깡통제국의 비밀,281142000,43372,257,1489,0
더 울버린,7763582000,1066227,1564,26229,1
더 테러 라이브,39847400317,5580701,3639,93035,0
극장판 도라에몽: 진구의 비밀도구 박물관,711497000,110898,470,3124,0
설국열차,66818452500,9321959,4788,122311,1
개구쟁이 스머프 2,5956385000,915594,1392,15254,1
에픽 : 숲속의 전설 ,6536891000,945559,1214,16950,0
명탐정 코난 : 수평선상의 음모,2275582500,359687,617,6821,0
감기,21711645000,3107800,2591,53982,0
슈퍼윙스 3D,201163500,32449,129,962,0
나우 유 씨 미 : 마술사기단,19112840369,2713410,2360,54181,0
R.I.P.D. : 알.아이.피.디.,537346571,74201,268,3273,1
일대종사,582290500,81257,379,4570,0
엘리시움,8974953500,1201354,1465,31237,0
잡스,1541709636,217319,739,11277,0
슈퍼배드 2,6459018000,941026,2105,16623,0
드래곤볼Z : 신들의 전쟁,226528000,34252,262,1583,0
스파이,18282590158,2300898,5642,132649,1
바람이 분다,551346500,78026,288,3822,0
관상,65917262000,9121451,5160,124589,0
섀도우 헌터스: 뼈의 도시,3968239000,561125,1039,17309,1
몬스터 대학교,5809978000,860211,1431,14636,0
퍼시 잭슨과 괴물의 바다,3742916609,512277,1084,16241,0
컨저링,16328109277,2259289,2262,48156,0
프리버즈: 밍쿠와 찌아의 도시 대탈출,259843000,39103,213,1770,0
히든 카드,869337096,120640,362,6687,0
블루 재스민,397244000,54741,207,3314,0
소원,18390287100,2687628,2983,70876,0
깡철이,8501041962,1197467,1732,41975,0
프리즈너스,1334563000,182252,570,7300,0
로덴시아: 마법왕국의 전설,571255500,88197,367,2561,0
정글번치 : 빙산으로의 귀환,270546805,42032,224,1439,0
화이: 괴물을 삼킨 아이,17524880295,2370593,2428,57468,0
러시 : 더 라이벌,875889500,119596,515,7769,0
그래비티,32026791300,3262924,3037,80434,0
롤러코스터,1863329100,262853,715,13856,0
밤의 여왕,1728155500,247275,649,12726,0
캡틴 필립스,1525642434,219077,753,9461,0
공범,12324409382,1764638,2147,51301,0
톱스타,1123171500,164000,763,11619,0
배우는 배우다,628866500,85298,297,6181,0
토르: 다크 월드,22350686000,3015162,2923,76594,0
노브레싱,2953848739,443719,1353,24589,0
응징자,1359939500,188140,603,11370,1
화이트 고릴라,349463000,53028,294,1666,0
동창생,6931670626,1032152,1648,35661,0
더 퍼지,1018728500,135353,449,5718,0
세이프 헤이븐,177148500,24389,133,1468,1
친구 2,21759609513,2964798,3139,69386,0
더 파이브,5228235000,714995,1290,25394,1
카운슬러,919076500,126394,575,7172,0
블랙 가스펠,170896000,23765,143,1242,0
헝거게임: 캣칭 파이어,7779628000,1114894,1930,33106,1
결혼전야,8303836719,1191464,1790,37523,0
하늘에서 음식이 내린다면 2,5339227500,785208,1778,15809,0
열한시,6043041500,862086,1387,31666,0
창수,2978968500,404990,779,16851,0
리딕,670237500,93783,275,3826,0
어바웃 타임,24754551000,3361407,2992,60941,0
인시디어스: 두번째 집,3974716000,573744,1098,18413,0
이스케이프 플랜,2102888179,292332,789,10297,0
버틀러: 대통령의 집사,759425000,108222,182,2348,0
호빗: 스마우그의 폐허,17379010816,2222016,2302,37126,1
집으로 가는 길,12863644745,1827986,2224,41357,1
변호인,82444088000,11311449,5590,148611,0
캐치미,3210687500,468006,966,15397,0
다이노소어 어드벤처 3D,4743029500,583883,1180,10870,0
비행기,1384726500,193123,699,5278,0
세이빙 산타,1353200000,209670,574,3935,0
용의자,30014103000,4127745,2978,68776,1
썬더와 마법저택,5962594500,880137,1179,14143,0
엔더스 게임,4842825500,642617,880,19349,1
월터의 상상은 현실이 된다,6585809299,901333,1066,23076,0
저스틴,1378315500,204779,332,3958,1
타잔 3D,4416435500,590861,1234,12736,1
플랜맨,4319641058,602310,879,17978,0
더 울프 오브 월스트리트,4247515500,553081,1114,12633,0
"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",2025275500,311436,714,7607,0
겨울왕국,82367403400,10283825,6813,157078,1
잭 라이언 : 코드네임 쉐도우,2336624000,319299,798,12201,0
수상한 그녀,62618369749,8642334,5460,136060,0
피끓는 청춘,11497371388,1648531,1637,33720,0
남자가 사랑할 때,14184775500,1933102,1855,38647,0
극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,275590000,41056,183,1125,0
조선미녀삼총사,3425430321,473755,746,13090,1
넛잡: 땅콩 도둑들,3016432500,433345,712,8922,0
폴리스 스토리 2014,916039500,122645,251,2751,0
인사이드 르윈 ,301869000,38262,70,709,0
디노타샤: 공룡대탐험,146713500,20729,138,829,0
프랑켄슈타인: 불멸의 영웅,2146615123,295143,739,11631,1
또 하나의 약속,3149170100,443825,554,11581,0
레고 무비,1128529000,164445,562,4771,0
로보캅,7262030758,974420,1539,28890,0
관능의 법칙,5727826500,763858,1697,28864,0
신이 보낸 사람,2870824200,394472,942,10715,0
명탐정 코난 : 탐정들의 진혼가 ,1018307000,155131,572,4684,0
폼페이: 최후의 날,10234714700,1364158,1834,42026,0
찌라시: 위험한 소문,9082797587,1217370,1763,36855,0
아메리칸 허슬,664765500,85322,245,2622,0
논스톱,16060536940,2083644,2451,58080,0
노예 12년,3618600200,494259,1383,18918,0
모뉴먼츠 맨: 세기의 작전,416870627,55115,319,3685,0
300: 제국의 부활,13343889900,1586198,2190,53748,1
다이애나,286713800,39326,279,3068,0
우아한 거짓말,11646474300,1604898,2375,56436,1
원 챈스,439604900,58634,329,4338,0
노아,15469969000,2020047,2790,55867,0
그랜드 부다페스트 호텔,5887435800,758009,1584,25713,0
벨과 세바스찬,157914300,21875,202,1537,1
캡틴 아메리카: 윈터 솔져,31679831585,3959198,4513,109833,1
초원의 왕 도제,121455500,17494,192,721,1
쓰리데이즈 투 킬,1683138600,219823,754,12414,0
론 서바이버 ,1356327820,179968,599,10040,0
짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,333191200,47476,301,1579,0
어거스트: 가족의 초상,314835700,40518,249,2514,1
백프로,223219000,29136,236,3147,0
방황하는 칼날,7824741300,989389,1943,38757,1
헤라클레스 : 레전드 비긴즈,1606089151,212961,754,13083,0
선 오브 갓,2253308500,309120,1085,13551,0
가시,1034408500,133740,682,10849,0
다이버전트,3277493011,421459,1343,21227,0
니드 포 스피드,816922600,102792,669,9582,1
한공주,1675373800,211094,793,10892,0
페이스 오브 러브,527739705,71091,438,4902,0
어메이징 스파이더맨 2,34621008800,4136519,4016,89049,1
천재 강아지 미스터 피바디,2768844400,372847,1281,10178,0
역린,29821447790,3839411,3671,82773,0
표적,22223989500,2836918,2836,71716,1
리오 2,5561365200,749754,1615,14405,0
라스트베가스,1266559195,164313,676,9726,0
몬스터 왕국,243752100,35549,160,859,0
인간중독,11175339200,1426083,2168,43015,0
고질라,5828258163,692019,1174,22649,0
트랜센던스,5434622000,689949,1156,22914,0
엑스맨: 데이즈 오브 퓨처 패스트,34624443066,4310013,3819,82542,1
도희야,583901800,72393,310,4394,0
그녀,2521191800,309344,737,8637,1
더 바디,355270000,46128,161,1470,0
끝까지 간다,26950815800,3442630,3574,84281,0
말레피센트,10760489000,1395144,2029,38759,0
오큘러스,1954102500,257030,629,7472,0
극장판 루팡 3세 VS 명탐정 코난,1457561305,207858,586,4654,0
엣지 오브 투모로우,38569973201,4678236,3526,93643,1
우는 남자,4741269400,579242,919,19962,0
하이힐,2515498600,312399,721,13977,1
황제를 위하여,4672304471,581465,1156,25628,1
경주,293291800,38319,318,3239,0
베스트 오퍼,180030600,23169,175,1401,0
그레이스 오브 모나코,1609403800,216761,910,12179,0
창문 넘어 도망친 100세 노인,1787243671,235681,897,10893,1
님포매니악 볼륨1,218141100,27505,237,3059,0
트랜스포머: 사라진 시대,43941748845,5286024,4944,107404,0
신의 한 수,28792508456,3563970,3164,76944,0
소녀괴담,3538282754,479275,1121,19152,0
나쁜 이웃들 ,329384700,40674,256,2225,0
혹성탈출: 반격의 서막,31506465095,4001487,3306,72834,1
좋은 친구들,3213001031,406034,987,17742,0
더 시그널,782631828,101919,510,6334,0
주온 : 끝의 시작,2962811531,395456,754,14224,0
분신사바 2,572931300,78671,468,4387,0
천하무적 키코리키,134061100,19122,186,879,0
군도: 민란의 시대,36743972099,4741281,3187,65915,0
드래곤 길들이기 2,23848649189,2981802,2791,51176,0
프란시스 하,445556800,56524,134,1710,0
마담 프루스트의 비밀정원,627491242,79974,136,1998,0
명량,135641990210,17597914,7279,187549,0
가디언즈 오브 갤럭시,11264413984,1329992,1605,22203,0
터키,734161000,103859,351,2140,0
해적: 바다로 간 산적,66189968806,8625574,5612,132638,0
명탐정 코난 : 이차원의 저격수,2426785300,349986,584,5414,0
허큘리스,542294300,69252,278,3083,0
해무,11603339119,1461574,1464,32339,1
"안녕, 헤이즐",5623373700,721675,946,16224,1
비행기 2: 소방구조대,2041786900,281867,636,5483,0
비긴 어게인,26804263954,3388717,3799,80463,0
극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,398561300,55671,123,1208,0
익스펜더블 3,1140434000,149336,628,7795,0
더 기버: 기억전달자,618608100,79925,233,2890,1
인투 더 스톰,16073779332,2067173,2251,44506,0
닌자터틀,3114845047,373866,904,14643,1
브릭 맨션: 통제불능 범죄구역,478532747,66054,287,4322,0
더 퍼지 : 거리의 반란,381888400,50280,204,2548,0
타짜-신의 손,32355158927,4011788,3631,79293,1
루시,16407346339,1966746,1941,43644,0
두근두근 내 인생,12234787834,1616325,1866,39108,0
스텝 업: 올 인,4192869234,544609,916,13713,0
마야,1572085200,212309,581,3851,0
극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,1108780400,154764,273,2040,0
메이즈 러너,21453841977,2807658,3031,70554,1
툼스톤,1719143047,221079,733,13889,1
베리 굿 걸,574190345,75381,338,6359,0
제보자,13452437902,1745594,2435,57153,0
슬로우 비디오,8709583219,1140324,1586,37507,0
애나벨,6758787243,882502,1165,25432,0
마담 뺑덕,3393752090,425553,995,17557,0
"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",1288052300,177116,643,4946,0
정글히어로,374740600,50861,287,1690,0
나의 사랑 나의 신부,16525589005,2125585,2560,68071,0
드라큘라: 전설의 시작,10598718308,1320565,1892,46264,0
맨홀,880712030,107544,286,6304,0
노벰버 맨,1801740820,240227,767,14764,0
